# NPROCS NNODES ILINES, TIME
10 1 200, 18.2703
10 2 200, 19.8351
10 3 200, 20.1341
10 4 200, 21.0638
10 6 200, 22.0612
10 8 200, 21.0842
10 10 200, 21.7438
